uid,n_hit,chi,eta,etamul2000,j1A0,j2A0,j3A0,j4A0,kappa,muDc,muK,pEhigh,phiS,pR,pT,rho,sageA15,sigma,theta,zeta
1,14,0.1411,0.9449,0.4359,0.1,0.1,0.1,0.335,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.0007,0.0908,1.7549
2,14,0.1411,0.9449,0.4359,0,0,0,0.458,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.00085,0.0908,1.7549
3,14,0.138,0.9449,0.4359,0,0,0,0.458,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.0007,0.0908,1.7549
4,14,0.1411,0.9449,0.4,0,0,0,0.458,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.0007,0.0908,1.7549
5,13,0.1411,0.9449,0.4359,0.1,0.1,0.1,0.458,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.0007,0.0908,1.7549
6,13,0.1411,0.9449,0.4359,0.1,0.1,0.1,0.458,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.00155,0.0249,0.7951,0.0007,0.0908,1.7549
7,13,0.1411,0.9449,0.4359,0.1,0.1,0.1,0.4,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.0007,0.0908,1.7549
8,13,0.1411,0.9449,0.4359,0.1,0.1,0.1,0.35,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.0007,0.0908,1.7549
9,13,0.1411,0.9449,0.4359,0.1,0.1,0.1,0.33,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.0007,0.0908,1.7549
10,13,0.1411,0.9449,0.4359,0.1,0.1,0.1,0.335,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.00145,0.0249,0.7951,0.0007,0.0908,1.7549
11,13,0.1411,0.9449,0.4359,0,0,0,0.458,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.0007,0.0908,1.7549
12,13,0.1411,0.9449,0.4359,0,0,0,0.458,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.0009,0.0908,1.7549
13,13,0.1411,0.9449,0.4359,0,0,0,0.458,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.7951,0.00085,0.0908,1.7
14,13,0.1411,0.9449,0.4359,0,0,0,0.458,0.1093,0.1667,0.0126,0.45,0.0456,0.8336,0.0015,0.0249,0.77,0.00085,0.0908,1.7549
