uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiH,phiHmul2010,phiS,pR,pT,rho,sageA15,sigma,smul,theta,zeta
1e98a8832f1e5c78eae4c652a4872a97,34,3.918026144,0.540978604,1.607370348,0.938690379,0.470191077,30.50538579,0.18751254,0.836624744,0.199581647,0.605011073,0.547972846,0.529458843,0.540490743,0.746073733,0.160932856,1.190126707,0.164778698,0.007263657,0.027042815,0.014845703,1.874614119,0.389616203,1.328441225,3.394492654,0.037181498,0.810676879,0.001013487,0.011625623,0.692545414,0.000881789,1.000297968,0.099097705,0.43164129
a61738a8469cf0c5feab32416b75a2d4,35,2.885972409,0.743439965,0.990833684,0.621199872,0.710410636,21.69967919,0.237506842,0.529691034,0.435176932,0.568361683,0.291839488,0.404273118,0.42211422,0.470549091,0.17172781,1.303996297,0.08786399,0.00583989,0.10608008,0.019393779,0.255564147,0.378056212,1.611156553,4.35835492,0.028034295,0.649076184,0.001324035,0.003466978,0.883883189,0.000556882,0.846340201,0.084772036,0.421673612
948a37c7a9616a4982ace72c56557724,34,3.214500366,0.323530796,1.408550101,0.470798432,0.720011406,26.57504052,0.242909966,0.677396625,0.32109152,0.563572985,0.518098265,0.448482024,0.540732793,0.724097094,0.18521265,1.317408341,0.131249357,0.008765088,0.094562336,0.013202995,1.471004469,0.395749029,3.374613939,3.43981089,0.030282853,0.727345579,0.001437232,0.003158289,0.73704238,0.000561568,0.471851927,0.096316707,0.343781011
5a2fbcc61d8bd2f10772e22bb4160a43,34,2.396952794,0.606794588,1.592280064,0.349597322,0.856670906,22.7945296,0.242654789,0.601226939,0.403834414,0.599374823,0.485675051,0.437866343,0.57280741,0.701468891,0.174822254,1.301385557,0.134539482,0.00717791,0.093319158,0.011902061,1.377328133,0.41850814,3.456828265,3.722214996,0.033155,0.709211707,0.001503719,0.003039791,0.76518356,0.000501321,0.559164392,0.093591361,0.327705936
d0cf6ae294bf6497d9f37cefb16cc853,34,3.549539679,1.001251773,2.265844253,0.350583212,0.960242705,28.57624311,0.223989002,1.363967676,0.184060293,0.533854266,0.719371539,0.607757643,0.447309597,0.491442444,0.150165601,1.220242182,0.130543809,0.008471648,0.01190358,0.011672528,1.057730252,0.408707809,1.820396285,3.070414703,0.040024331,0.826424122,0.001718054,0.00285494,0.944599295,0.000811962,0.346235636,0.080447735,0.300995772
68153816255be18533cb0250b91addc1,34,2.961182943,0.643622946,1.073575806,0.895977379,0.636822545,20.90555407,0.231885971,0.587671334,0.275224783,0.520407631,0.324400758,0.424858152,0.483313233,0.501600285,0.162227941,1.297618989,0.085024737,0.005795805,0.10886932,0.020949465,0.357854768,0.398610086,1.890163143,4.437193972,0.027901845,0.652519402,0.00129918,0.003522964,0.862085754,0.000487592,0.906398012,0.090254118,0.439408286
430855878265d890712d92286681d7de,34,3.088511379,0.718604436,1.123877168,0.843459307,0.54278472,18.84738236,0.236915116,0.525319665,0.349077173,0.545539512,0.288439538,0.375641186,0.504288759,0.483370164,0.176619885,1.290483643,0.075901503,0.006161172,0.101929692,0.020547667,0.307757015,0.392936209,1.743101443,4.3113219,0.028082223,0.642336794,0.001314926,0.003849269,0.906794693,0.000557735,0.899443311,0.087572819,0.436877934
2daf33b026c8e0ab25906656b8f12eb4,34,2.693333104,0.664605345,1.062345718,0.622074285,0.681288418,22.60766199,0.236316903,0.556345939,0.406340962,0.527559459,0.301395946,0.290691736,0.357154986,0.529620393,0.170478227,1.303851733,0.090517805,0.004869229,0.103235083,0.01649673,0.234683185,0.392045535,1.933955546,3.925752101,0.03341396,0.635889927,0.001291796,0.003043438,0.880100314,0.000516151,0.836035991,0.087280183,0.417993001
3fc2ad49a34648300936f4798576d368,34,2.568119578,0.719154729,1.180115309,0.731365901,0.742400439,24.00284838,0.235553767,0.537863585,0.368691058,0.537379248,0.321656684,0.325596851,0.376371469,0.543361547,0.156314639,1.280632451,0.104297519,0.005224779,0.099946117,0.016523076,0.300218646,0.385752071,1.988001141,3.998554877,0.031098287,0.636736623,0.001291484,0.003091443,0.875234323,0.00054454,0.938657368,0.085780419,0.389084317
fa9cae9875c1a52322390e0de8b566bf,34,2.502044868,0.69559415,1.157103953,0.769010785,0.695536061,20.21866016,0.235391453,0.536699779,0.398271699,0.538182125,0.422959986,0.507436123,0.421417988,0.464594801,0.164584536,1.291307432,0.089428398,0.005401441,0.108104315,0.020108535,0.277754602,0.396431166,2.302900738,4.278291429,0.028702092,0.645504549,0.001322141,0.003557542,0.877652371,0.000458093,0.783223859,0.088920416,0.418993701
