uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiH,phiHmul2010,phiS,pR,pT,rho,sageA15,sigma,smul,theta,zeta
297ac74b05fb0733b0cf92c859f59111,35,4.671731853,1.764101939,2.136266953,0.431045458,1.44442341,28.66419979,0.110006944,0.164652677,1.114398803,0.484478677,0.943416498,0.93274017,0.932323595,0.996449118,0.083915094,1.184106283,0.156469656,0.00701684,0.065719328,0.015545638,0.954459704,0.349626342,1.352280838,1.604381314,0.045079126,0.602146758,0.000647608,0.005055953,0.948956376,0.001094644,0.848535594,0.109861557,0.37681032
e7873ada5e41f7945b5cd64807d87abd,35,4.671782295,1.758320267,2.166103205,0.422992871,1.456670592,28.6702685,0.110922693,0.160096628,1.086027429,0.489471479,0.943973488,0.941491201,0.94002998,0.995496918,0.081132009,1.177482289,0.155415007,0.006939666,0.067408487,0.015654348,0.933621762,0.351115605,1.339227113,1.602595421,0.045161431,0.60056978,0.000660057,0.005774592,0.951199014,0.001098488,0.856590745,0.10981853,0.428707625
1c78b8e8358fbe3c580f50ba1d309249,35,4.642613996,1.7508755,2.174815357,0.41597957,1.447654339,28.6746008,0.110545009,0.150071233,1.087574236,0.489941184,0.940437842,0.939344269,0.937933712,0.999997578,0.08235423,1.191948614,0.155630709,0.006936581,0.067748176,0.01567968,0.924973383,0.348730869,1.318379257,1.637996681,0.045318566,0.601637077,0.000669815,0.005930474,0.953576708,0.001094773,0.855187372,0.109969933,0.470168941
ffd395fa48e33d6ad55d6d56a7f90aad,35,4.659819625,1.75406212,2.183003287,0.43396763,1.452858138,28.64081764,0.110508804,0.152237526,1.093831008,0.491661319,0.939140018,0.946464263,0.943960027,0.998821589,0.08296343,1.18635042,0.156051013,0.006957192,0.067173461,0.015585925,0.936852976,0.351889544,1.316299037,1.622049573,0.045233941,0.602268125,0.000669659,0.005991084,0.949791419,0.001097021,0.858464199,0.109936528,0.466380346
6fc7561a9a9fbbcdb33125d0593037e3,35,4.676134014,1.744370789,2.169253584,0.413290906,1.399016678,28.71052275,0.110826556,0.148694255,1.130702456,0.493866918,0.93973968,0.946574608,0.933003456,0.98012574,0.0812622,1.184524926,0.15618057,0.00695206,0.068632997,0.015354052,0.928606209,0.354557587,1.348281231,1.653747662,0.045364118,0.603444774,0.000687018,0.005501233,0.946883722,0.001092655,0.850475247,0.109924039,0.473267202
9b61a3d7b1dec07d9602d71ce12724d7,35,4.69972327,1.732447409,2.151836317,0.40995452,1.399226908,28.15706068,0.112372015,0.143741262,1.156626163,0.49407144,0.948236225,0.939617171,0.949574661,0.970713378,0.080213578,1.187947694,0.155579497,0.006979305,0.068533152,0.015400973,0.935751274,0.360078663,1.390796305,1.644026045,0.045169392,0.603196631,0.000686703,0.005933581,0.938858988,0.001090763,0.852042174,0.109653264,0.466356428
4290eb873ce0c6d5d522dc070d94eb8f,35,4.699968266,1.721962038,2.151265622,0.412191555,1.398269938,28.18970163,0.111760519,0.156663117,1.161766406,0.490315045,0.953073547,0.937565261,0.948313771,0.966282963,0.080426659,1.181216749,0.155709133,0.006984429,0.068330917,0.015327789,0.939091313,0.356651869,1.374267463,1.633963865,0.045084034,0.603706804,0.000664321,0.006344793,0.940290191,0.001090954,0.846491264,0.109624594,0.438983945
1b1dfae13ce6b6dc3fae6708522b9dc9,35,4.696329519,1.720942779,2.155551534,0.410242969,1.387431434,28.14894368,0.11206395,0.161441088,1.16429682,0.492682132,0.955943294,0.93671134,0.951115798,0.965541356,0.081134369,1.181410291,0.155459812,0.006964434,0.068529137,0.015268091,0.944510687,0.359238505,1.355341831,1.649703068,0.045018806,0.603309856,0.000673958,0.006122207,0.941460474,0.001087832,0.849444478,0.109492729,0.445733435
bc8eb62d48de5beb79c7a33d735001ce,35,4.688883741,1.719843053,2.161455935,0.409290064,1.368091949,28.09311308,0.111872463,0.160395088,1.140216955,0.499403351,0.949972833,0.947231353,0.946301588,0.952420663,0.082637774,1.190424242,0.154597161,0.006993962,0.069277824,0.015356622,0.954130374,0.358814402,1.356143366,1.687374413,0.045021376,0.605789736,0.000678756,0.006004551,0.936648604,0.001091172,0.845245983,0.109729086,0.449349994
802dd4a6a864f313a84a851883bc9cf2,35,4.662373481,1.726636727,2.143624495,0.394495183,1.379085637,28.08815535,0.111616856,0.176956203,1.150026069,0.500191101,0.951357286,0.946608559,0.941862167,0.951657992,0.082659171,1.165061463,0.154600678,0.007038018,0.070103454,0.015316098,0.956875724,0.357259581,1.34670661,1.685269374,0.044971179,0.6061739,0.000659472,0.006479487,0.94101497,0.001093486,0.846691089,0.109603328,0.410020366
d9132df43b6363e8fbb20e8dd7dbd6c0,35,4.640449326,1.737141843,2.138292489,0.38407445,1.37667887,28.26542638,0.11131136,0.176493624,1.147079737,0.499401264,0.946002903,0.943604805,0.943141834,0.951950417,0.08278769,1.180270727,0.155730393,0.007011837,0.067984107,0.015242944,0.947698056,0.358516277,1.359002063,1.661142874,0.045000202,0.605620046,0.000685298,0.006058449,0.942788009,0.001094692,0.844941398,0.109529249,0.464137626
ee9c89506e352e4fd71cf69b727ded80,35,4.642810742,1.735905638,2.155310756,0.385261663,1.375250063,28.38841328,0.111679787,0.157046441,1.160743565,0.496892879,0.945805608,0.936793686,0.947738839,0.953717489,0.082551052,1.188655166,0.155298285,0.00704984,0.067435267,0.015266021,0.945949177,0.349136913,1.336113763,1.665492208,0.045094174,0.605423114,0.000666795,0.00607127,0.94586257,0.001093492,0.842899565,0.109602248,0.448588579
a33c2948f5ba4873824b555e631186ba,35,4.667247299,1.725867341,2.116242276,0.389761651,1.376754303,28.27786217,0.111783178,0.156830897,1.152870972,0.490508673,0.951361985,0.933969192,0.943283082,0.954253334,0.083635801,1.179447807,0.154729158,0.007019897,0.065788684,0.015081091,0.960180433,0.346990961,1.376670881,1.652580569,0.044975043,0.607417511,0.000661481,0.0054956,0.955813855,0.001094104,0.835900385,0.109722917,0.428092135
4b39b267381f5548ea66dac7e4edd949,35,4.719393134,1.755571056,2.11039271,0.416319706,1.333916704,28.8192461,0.112193292,0.160783615,1.091922532,0.496957128,0.973476903,0.935484425,0.949565679,0.97653379,0.081042164,1.195838331,0.158013959,0.006950322,0.071041276,0.015157629,0.956762992,0.354901331,1.499641051,1.649660412,0.044434513,0.601832355,0.000671928,0.005303848,0.971302407,0.001080206,0.875317502,0.109226206,0.441926883
7bf2add47dc37e453966ac1a8207f131,35,4.728640818,1.77657954,2.179501161,0.40643258,1.312881172,28.61529499,0.111429696,0.170677408,1.085730618,0.496940129,0.980278596,0.938865888,0.938889359,0.968471665,0.082759425,1.181292736,0.154562427,0.007002365,0.071960824,0.0149591,0.96640571,0.354251472,1.519528266,1.674205172,0.044646001,0.600201988,0.000672771,0.005135438,0.942112645,0.001071731,0.888683745,0.108739168,0.421321419
f21b8a3dceca5e42bfce3ba0b4d51f28,35,4.676750042,1.714730443,2.25393122,0.336788926,1.471026734,28.69323489,0.105617893,0.206549079,1.101058861,0.488665837,0.974288417,0.96701255,0.942038886,0.978717022,0.081211231,1.168660749,0.162479768,0.006997637,0.060836828,0.015117744,0.980595636,0.341768602,1.292623598,1.737389661,0.044321824,0.60232574,0.000638046,0.005492767,0.917713631,0.001089254,0.823640413,0.109457074,0.409608578
72e4751791939225c4e35204ed202bba,35,4.693077097,1.7057542,2.22771564,0.328315205,1.460979875,28.80092423,0.105155826,0.208847932,1.11225622,0.488921843,0.964051542,0.968497952,0.937183302,0.97602752,0.082136349,1.179592355,0.161670104,0.006997819,0.061593452,0.015058199,0.980305977,0.3444426,1.302582026,1.73661123,0.044216632,0.602185481,0.000629994,0.006155557,0.922074405,0.001087038,0.818801369,0.109301222,0.402939
211e0d3398d68121593fd89e84a945f0,35,4.709663239,1.703082241,2.286188828,0.346143562,1.457962688,28.80417201,0.107497106,0.211072704,1.096937184,0.49279224,0.969610663,0.966119049,0.931140529,0.968450759,0.08188201,1.165089003,0.160654789,0.007051611,0.060271922,0.015116556,0.981655658,0.347269316,1.299323965,1.761357585,0.044343588,0.604773598,0.000641613,0.006717487,0.926469461,0.001093827,0.81406749,0.109122737,0.438622851
63765ac8134dc915b736b2d9ed87be93,35,4.703868056,1.717792593,2.257697484,0.360094724,1.472205485,28.95882936,0.106918735,0.205102553,1.097334736,0.484911812,0.969221737,0.958376216,0.928856896,0.9694359,0.081868726,1.159444708,0.160871842,0.007045158,0.057894871,0.015075023,0.981676632,0.348218092,1.326496539,1.729465439,0.044455592,0.603955421,0.000652291,0.00632124,0.919912437,0.001090574,0.810339388,0.108496181,0.448332414
2957b252a18a9e16b7ed28817a00ae57,35,4.708554367,1.713051103,2.256808772,0.36525691,1.471630439,28.87018281,0.106774234,0.203792811,1.085920687,0.484003733,0.968603507,0.961559284,0.928089695,0.972933703,0.081981429,1.165583078,0.160175429,0.00702664,0.057178411,0.015005254,0.98619883,0.346608263,1.332420105,1.744346497,0.044529245,0.603227381,0.000647052,0.006102689,0.922763307,0.001088839,0.812728996,0.108373902,0.424957504
5f0025e466c68a74a7f9edd47d80b176,35,4.683157538,1.709009742,2.231125413,0.353058366,1.492854439,28.79936962,0.105786772,0.201059202,1.089402991,0.480064724,0.974579183,0.96097496,0.927375327,0.969230663,0.083000107,1.164139473,0.15967961,0.007037475,0.058743253,0.015223264,0.98776949,0.342012682,1.346351719,1.782179566,0.044434964,0.602758808,0.000627167,0.005806563,0.917921233,0.001087347,0.812008606,0.108357977,0.391392824
16cbf13b61eaa369fb10181c6b8b5ba6,35,4.707837934,1.723302255,2.225351372,0.346723592,1.505843419,28.91813428,0.105608086,0.1900715,1.112655968,0.490333938,0.983811263,0.966840345,0.923706092,0.973222028,0.083588671,1.169186867,0.159925747,0.007052904,0.05873001,0.015185493,0.982872119,0.337133924,1.354789486,1.810777518,0.044478132,0.602683498,0.000642359,0.005243731,0.924647111,0.001089538,0.806397273,0.107963969,0.414472638
65605f235d4299a7d0eea66d4cf8a6fc,35,4.697517448,1.690032878,2.251732697,0.345865724,1.498767838,28.94152275,0.105537374,0.190253538,1.133179568,0.483938428,0.993633922,0.968419437,0.926900366,0.973488915,0.084980107,1.14437965,0.162659358,0.007024655,0.061015917,0.015226006,0.996508754,0.338627133,1.372609856,1.848429535,0.044901444,0.602649744,0.000634128,0.006223546,0.922547268,0.001084503,0.820716166,0.107894225,0.435833972
