uid,n_hit,alphaHmul2010,alphaHmul2019,chi,epsilonHmul2010,epsilonHmul2019,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiHmul2010,phiHmul2019,phiS,pR,pT,rho,sageA15,sigma,theta,thetamul,trmul,zeta
f60f054279d469662fb0447f05e282f1,25,0.226668566,0.236788004,0.156485888,0.271376015,0.577007919,0.802075394,0.8775088,0.934307553,0.985165638,0.406680533,0.199732478,1.52943765,0.135631811,0.00673296,0.055859888,0.004142697,0.992373463,0.269379104,2.284369228,1.535248685,0.045202893,0.620170202,0.000712882,0.014369015,0.492431861,0.001099427,0.110139787,33.86293775,1.275245444,1.830770131
f60f054279d469662fb0447f05e282f1,25,0.226668566,0.236788004,0.156485888,0.271376015,0.577007919,0.802075394,0.8775088,0.934307553,0.985165638,0.406680533,0.199732478,1.52943765,0.135631811,0.00673296,0.055859888,0.004142697,0.992373463,0.269379104,2.284369228,1.535248685,0.045202893,0.620170202,0.000712882,0.014369015,0.492431861,0.001099427,0.110139787,33.86293775,1.275245444,1.830770131
bb82a2033288df023a80a95606335586,25,0.282464433,0.155734664,0.156627028,0.270667743,0.4917633,0.793719396,0.911005533,0.899964139,0.960033701,0.46976653,0.190392764,1.496683165,0.12751986,0.006623188,0.056799145,0.004790396,0.996548024,0.294274245,2.120534901,1.27084661,0.046189086,0.613461717,0.000666399,0.015504713,0.488800646,0.001126899,0.110328134,32.85879857,1.158605228,1.332845135
bb82a2033288df023a80a95606335586,25,0.282464433,0.155734664,0.156627028,0.270667743,0.4917633,0.793719396,0.911005533,0.899964139,0.960033701,0.46976653,0.190392764,1.496683165,0.12751986,0.006623188,0.056799145,0.004790396,0.996548024,0.294274245,2.120534901,1.27084661,0.046189086,0.613461717,0.000666399,0.015504713,0.488800646,0.001126899,0.110328134,32.85879857,1.158605228,1.332845135
f86c30465a4ef626f362f64dc6c00f7c,25,0.255003402,0.241218755,0.158721389,0.271923579,0.602116608,0.873614959,0.936347358,0.757607076,0.879284748,0.287545557,0.222162436,1.598665876,0.11691306,0.007329121,0.079023343,0.004697894,0.550445623,0.622912175,2.073336259,1.281270073,0.043156623,0.636820191,0.001059586,0.018846566,0.66367614,0.001040376,0.105993314,28.75557852,1.655838446,0.632431776
f86c30465a4ef626f362f64dc6c00f7c,25,0.255003402,0.241218755,0.158721389,0.271923579,0.602116608,0.873614959,0.936347358,0.757607076,0.879284748,0.287545557,0.222162436,1.598665876,0.11691306,0.007329121,0.079023343,0.004697894,0.550445623,0.622912175,2.073336259,1.281270073,0.043156623,0.636820191,0.001059586,0.018846566,0.66367614,0.001040376,0.105993314,28.75557852,1.655838446,0.632431776
f86c30465a4ef626f362f64dc6c00f7c,25,0.255003402,0.241218755,0.158721389,0.271923579,0.602116608,0.873614959,0.936347358,0.757607076,0.879284748,0.287545557,0.222162436,1.598665876,0.11691306,0.007329121,0.079023343,0.004697894,0.550445623,0.622912175,2.073336259,1.281270073,0.043156623,0.636820191,0.001059586,0.018846566,0.66367614,0.001040376,0.105993314,28.75557852,1.655838446,0.632431776
f86c30465a4ef626f362f64dc6c00f7c,25,0.255003402,0.241218755,0.158721389,0.271923579,0.602116608,0.873614959,0.936347358,0.757607076,0.879284748,0.287545557,0.222162436,1.598665876,0.11691306,0.007329121,0.079023343,0.004697894,0.550445623,0.622912175,2.073336259,1.281270073,0.043156623,0.636820191,0.001059586,0.018846566,0.66367614,0.001040376,0.105993314,28.75557852,1.655838446,0.632431776
7c3412fcd7b9516f1bbae09b0cca3913,25,0.214040936,0.108210293,0.153505967,0.352325913,0.67599872,0.906190364,0.932543961,0.85903374,0.903890763,0.432428189,0.200230884,1.595933477,0.140173578,0.006948093,0.085581236,0.006882722,0.992884335,0.328136417,1.834085229,1.088310818,0.046387351,0.606508954,0.000742785,0.003307996,0.5058194,0.001060383,0.110124488,32.52296858,1.266563533,0.331686765
1ada68613231f6661db27bba2157be2f,25,0.366560637,0.294201927,0.146758366,0.201428968,0.376717893,0.879911578,0.89888637,0.886456667,0.928824956,0.400119795,0.210266639,1.525919692,0.137741802,0.007142427,0.066075776,0.004648673,1.084604974,0.278419351,1.925064454,1.223231965,0.045781304,0.619640724,0.000940474,0.004167509,0.562082287,0.001051949,0.110376014,31.23335393,1.072914292,2.081979134
47b6ffe1bae704a143acbae0f6baf634,25,0.351084733,0.296288037,0.146547794,0.205662773,0.380135445,0.871835672,0.885967432,0.892773884,0.944938793,0.393341527,0.215464234,1.585294636,0.136050885,0.007016281,0.066578538,0.004625412,1.095704778,0.276554737,1.902184919,1.245409054,0.045813541,0.618841683,0.000942495,0.004401127,0.576470099,0.001047188,0.109962913,31.0847473,1.022657397,2.406124341
2cd3e89c75b23b7285f6ffc12fa6acba,25,0.231700448,0.158877506,0.15534705,0.310948783,0.492377289,0.89502987,0.888621885,0.885896364,0.928283903,0.416315402,0.207658772,1.595219702,0.135759473,0.007105048,0.06813022,0.005722039,1.037526143,0.297587178,1.980509457,1.193601783,0.046014945,0.611327158,0.000917852,0.005203014,0.522821571,0.001072955,0.10989946,31.70076748,1.1445711,1.885812334
7c3412fcd7b9516f1bbae09b0cca3913,25,0.214040936,0.108210293,0.153505967,0.352325913,0.67599872,0.906190364,0.932543961,0.85903374,0.903890763,0.432428189,0.200230884,1.595933477,0.140173578,0.006948093,0.085581236,0.006882722,0.992884335,0.328136417,1.834085229,1.088310818,0.046387351,0.606508954,0.000742785,0.003307996,0.5058194,0.001060383,0.110124488,32.52296858,1.266563533,0.331686765
1ada68613231f6661db27bba2157be2f,25,0.366560637,0.294201927,0.146758366,0.201428968,0.376717893,0.879911578,0.89888637,0.886456667,0.928824956,0.400119795,0.210266639,1.525919692,0.137741802,0.007142427,0.066075776,0.004648673,1.084604974,0.278419351,1.925064454,1.223231965,0.045781304,0.619640724,0.000940474,0.004167509,0.562082287,0.001051949,0.110376014,31.23335393,1.072914292,2.081979134
47b6ffe1bae704a143acbae0f6baf634,25,0.351084733,0.296288037,0.146547794,0.205662773,0.380135445,0.871835672,0.885967432,0.892773884,0.944938793,0.393341527,0.215464234,1.585294636,0.136050885,0.007016281,0.066578538,0.004625412,1.095704778,0.276554737,1.902184919,1.245409054,0.045813541,0.618841683,0.000942495,0.004401127,0.576470099,0.001047188,0.109962913,31.0847473,1.022657397,2.406124341
2cd3e89c75b23b7285f6ffc12fa6acba,25,0.231700448,0.158877506,0.15534705,0.310948783,0.492377289,0.89502987,0.888621885,0.885896364,0.928283903,0.416315402,0.207658772,1.595219702,0.135759473,0.007105048,0.06813022,0.005722039,1.037526143,0.297587178,1.980509457,1.193601783,0.046014945,0.611327158,0.000917852,0.005203014,0.522821571,0.001072955,0.10989946,31.70076748,1.1445711,1.885812334
ea586e2feac0ec5512d2d9ac3f8cd996,25,0.223215406,0.243342425,0.152492623,0.273072662,0.371032096,0.832649094,0.938393701,0.892752639,0.908009247,0.365279982,0.194726222,1.552574325,0.128819955,0.007146093,0.05969102,0.003665111,1.010569017,0.295649811,2.00947018,1.11174014,0.045808663,0.636003362,0.000701678,0.018684672,0.494660884,0.001127565,0.108002471,31.25404519,1.157468114,2.029486793
ea586e2feac0ec5512d2d9ac3f8cd996,25,0.223215406,0.243342425,0.152492623,0.273072662,0.371032096,0.832649094,0.938393701,0.892752639,0.908009247,0.365279982,0.194726222,1.552574325,0.128819955,0.007146093,0.05969102,0.003665111,1.010569017,0.295649811,2.00947018,1.11174014,0.045808663,0.636003362,0.000701678,0.018684672,0.494660884,0.001127565,0.108002471,31.25404519,1.157468114,2.029486793
ea586e2feac0ec5512d2d9ac3f8cd996,25,0.223215406,0.243342425,0.152492623,0.273072662,0.371032096,0.832649094,0.938393701,0.892752639,0.908009247,0.365279982,0.194726222,1.552574325,0.128819955,0.007146093,0.05969102,0.003665111,1.010569017,0.295649811,2.00947018,1.11174014,0.045808663,0.636003362,0.000701678,0.018684672,0.494660884,0.001127565,0.108002471,31.25404519,1.157468114,2.029486793
ea586e2feac0ec5512d2d9ac3f8cd996,25,0.223215406,0.243342425,0.152492623,0.273072662,0.371032096,0.832649094,0.938393701,0.892752639,0.908009247,0.365279982,0.194726222,1.552574325,0.128819955,0.007146093,0.05969102,0.003665111,1.010569017,0.295649811,2.00947018,1.11174014,0.045808663,0.636003362,0.000701678,0.018684672,0.494660884,0.001127565,0.108002471,31.25404519,1.157468114,2.029486793
ea586e2feac0ec5512d2d9ac3f8cd996,25,0.223215406,0.243342425,0.152492623,0.273072662,0.371032096,0.832649094,0.938393701,0.892752639,0.908009247,0.365279982,0.194726222,1.552574325,0.128819955,0.007146093,0.05969102,0.003665111,1.010569017,0.295649811,2.00947018,1.11174014,0.045808663,0.636003362,0.000701678,0.018684672,0.494660884,0.001127565,0.108002471,31.25404519,1.157468114,2.029486793
ea586e2feac0ec5512d2d9ac3f8cd996,25,0.223215406,0.243342425,0.152492623,0.273072662,0.371032096,0.832649094,0.938393701,0.892752639,0.908009247,0.365279982,0.194726222,1.552574325,0.128819955,0.007146093,0.05969102,0.003665111,1.010569017,0.295649811,2.00947018,1.11174014,0.045808663,0.636003362,0.000701678,0.018684672,0.494660884,0.001127565,0.108002471,31.25404519,1.157468114,2.029486793
ea586e2feac0ec5512d2d9ac3f8cd996,25,0.223215406,0.243342425,0.152492623,0.273072662,0.371032096,0.832649094,0.938393701,0.892752639,0.908009247,0.365279982,0.194726222,1.552574325,0.128819955,0.007146093,0.05969102,0.003665111,1.010569017,0.295649811,2.00947018,1.11174014,0.045808663,0.636003362,0.000701678,0.018684672,0.494660884,0.001127565,0.108002471,31.25404519,1.157468114,2.029486793
ea586e2feac0ec5512d2d9ac3f8cd996,25,0.223215406,0.243342425,0.152492623,0.273072662,0.371032096,0.832649094,0.938393701,0.892752639,0.908009247,0.365279982,0.194726222,1.552574325,0.128819955,0.007146093,0.05969102,0.003665111,1.010569017,0.295649811,2.00947018,1.11174014,0.045808663,0.636003362,0.000701678,0.018684672,0.494660884,0.001127565,0.108002471,31.25404519,1.157468114,2.029486793
90c08921d48d2fe8d0b499b5383c05d4,25,0.199687017,0.566301093,0.150265842,0.340163144,0.738933435,0.875410208,0.843099971,0.805179268,0.965766925,0.56196778,0.192565224,1.504016139,0.121734165,0.006901417,0.062108377,0.005122228,1.208548652,0.266966107,2.016685819,1.074577352,0.0440913,0.649996887,0.001037029,0.007072939,0.670756725,0.001044416,0.106532784,24.4203591,1.507379057,1.994165822
90c08921d48d2fe8d0b499b5383c05d4,25,0.199687017,0.566301093,0.150265842,0.340163144,0.738933435,0.875410208,0.843099971,0.805179268,0.965766925,0.56196778,0.192565224,1.504016139,0.121734165,0.006901417,0.062108377,0.005122228,1.208548652,0.266966107,2.016685819,1.074577352,0.0440913,0.649996887,0.001037029,0.007072939,0.670756725,0.001044416,0.106532784,24.4203591,1.507379057,1.994165822
9f19bbf2755b5c24f37ffc9cfe41f08b,25,0.203540901,0.560450368,0.15242464,0.371729303,0.785121017,0.866816201,0.847536058,0.796675548,0.976951854,0.561552091,0.191409803,1.511302808,0.119283276,0.006907845,0.060822965,0.00571554,1.235929503,0.278159151,1.96337052,1.02990781,0.044341837,0.651984406,0.001079222,0.006181972,0.678213309,0.001061831,0.105896258,24.99140607,1.483964304,2.08073463
90c08921d48d2fe8d0b499b5383c05d4,25,0.199687017,0.566301093,0.150265842,0.340163144,0.738933435,0.875410208,0.843099971,0.805179268,0.965766925,0.56196778,0.192565224,1.504016139,0.121734165,0.006901417,0.062108377,0.005122228,1.208548652,0.266966107,2.016685819,1.074577352,0.0440913,0.649996887,0.001037029,0.007072939,0.670756725,0.001044416,0.106532784,24.4203591,1.507379057,1.994165822
90c08921d48d2fe8d0b499b5383c05d4,25,0.199687017,0.566301093,0.150265842,0.340163144,0.738933435,0.875410208,0.843099971,0.805179268,0.965766925,0.56196778,0.192565224,1.504016139,0.121734165,0.006901417,0.062108377,0.005122228,1.208548652,0.266966107,2.016685819,1.074577352,0.0440913,0.649996887,0.001037029,0.007072939,0.670756725,0.001044416,0.106532784,24.4203591,1.507379057,1.994165822
9f19bbf2755b5c24f37ffc9cfe41f08b,25,0.203540901,0.560450368,0.15242464,0.371729303,0.785121017,0.866816201,0.847536058,0.796675548,0.976951854,0.561552091,0.191409803,1.511302808,0.119283276,0.006907845,0.060822965,0.00571554,1.235929503,0.278159151,1.96337052,1.02990781,0.044341837,0.651984406,0.001079222,0.006181972,0.678213309,0.001061831,0.105896258,24.99140607,1.483964304,2.08073463
d136c04d564db56955996acd37601c83,25,0.269297098,0.333709579,0.166225944,0.229445464,0.453688915,0.82052386,0.947257247,0.830150775,0.96518933,0.417081799,0.209605428,1.538519295,0.135190138,0.00659175,0.071041954,0.003865525,0.816563578,0.315497983,2.698811279,1.335554854,0.046505478,0.614139447,0.000568204,0.016398567,0.531528584,0.00106717,0.109579915,32.71013369,1.140279782,0.437391631
00bea58a9e6ca2f54f537f2f97618acc,25,0.345216958,0.365656512,0.170843569,0.173067425,0.198571331,0.820496687,0.904780975,0.793777678,0.965841616,0.447292211,0.219441414,1.601636636,0.135384375,0.006353781,0.071080044,0.00416341,0.773967211,0.290787516,3.036634797,1.142712013,0.046264012,0.606285482,0.000581121,0.014389967,0.557315077,0.001021632,0.106971899,34.1353679,1.123792791,0.434826515
