uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiH,phiHmul2010,phiS,pR,pT,rho,sageA15,sigma,smul,theta,zeta
4d927105d675ed60c50708b015a4ea07,33,2.059063224,0.80116061,0.601688822,1.750483714,0.276109393,13.3984959,0.199641534,0.507480369,0.417161782,0.492300818,0.387657119,0.081750463,0.278684169,0.657191857,0.152568734,1.166336069,0.084726293,0.002999186,0.076694392,0.013697042,1.054488964,0.33906952,1.470269782,1.739096161,0.035793052,0.685489936,0.001190935,0.007204254,0.655724227,0.000679639,0.85062292,0.077967535,0.388252046
062c49360d404cf710c8b228fa926397,33,2.056409278,0.832553356,0.625335858,1.680268196,0.232499366,13.85867234,0.198476287,0.541299245,0.414890993,0.51268713,0.407359795,0.071212089,0.257395068,0.65078063,0.156838559,1.169865897,0.0829103,0.002180867,0.083466467,0.013914318,1.033303235,0.342195415,1.099144345,1.965016673,0.033838314,0.676657207,0.001194319,0.006881621,0.675078072,0.000710541,0.800739953,0.077057212,0.378950032
4f803d2d553754afe7d005d444400349,33,2.036667118,0.829740379,0.58757505,1.630139915,0.245694496,13.77607543,0.199973579,0.557706213,0.40285397,0.510753279,0.390616881,0.064073439,0.290183506,0.650890727,0.157270692,1.169671571,0.082552888,0.002094481,0.084401381,0.014176057,1.028394665,0.342369119,1.100199229,2.072476081,0.033213179,0.680099142,0.001209815,0.006876451,0.682505043,0.000691489,0.769457175,0.077193116,0.392533292
7f984debef9efbf3138154cb1b72723d,33,1.97571922,0.721846559,0.536250403,1.8492728,0.287212661,13.02870833,0.194654847,0.500546869,0.431843701,0.490199045,0.361846929,0.186935582,0.255728726,0.592371197,0.147387502,1.150352136,0.081484657,0.003815432,0.069910375,0.016126081,0.999486498,0.332612219,2.085899351,1.619110611,0.035661503,0.678787558,0.00114058,0.007130818,0.634994073,0.000789871,0.793687816,0.078378495,0.38644078
8014325e65276502b4984f82ddcd1ef5,33,2.097496,0.816022509,0.588215392,1.730221566,0.26106383,13.25753888,0.200732123,0.531074868,0.405723075,0.511416843,0.402790474,0.071306291,0.281523451,0.648967821,0.155914373,1.180175094,0.08489799,0.00273624,0.084283897,0.014009623,1.024828846,0.342018427,1.289550101,1.877193854,0.034301858,0.678834273,0.00120784,0.007033586,0.671369236,0.000674229,0.838263546,0.077075933,0.383049191
7103e926d81c003d7925579316f788d3,33,2.123084218,0.767838345,0.614785773,1.679487652,0.207347387,14.53732726,0.200088162,0.568899823,0.396127227,0.532954858,0.384532081,0.03438444,0.288359709,0.632275686,0.157783058,1.175256619,0.084836314,0.001942232,0.089516355,0.013947695,1.057758134,0.348536328,0.955902993,2.088334841,0.03297472,0.681779872,0.001239118,0.006413365,0.686371083,0.000693019,0.825001437,0.077094732,0.365618958
9f11e89625efbc654d82520e969341ba,33,2.613645691,0.842202867,1.45279716,0.669951477,0.659447768,26.16484533,0.146425477,0.637641922,0.284306863,0.406589008,0.765579868,0.289620525,0.418147567,0.768677734,0.124254836,1.130388343,0.143520342,0.003654405,0.044934317,0.01318832,0.8603159,0.36770783,3.59034937,1.641113195,0.033294312,0.727667871,0.000924942,0.007411844,0.63381392,0.000812955,0.570778082,0.083742182,0.282596945
15535fa89a66a01760ca1bf6fef4865f,33,2.18307101,1.085472037,1.303499091,0.770024832,0.685130995,24.35511368,0.134563634,0.60699453,0.264448351,0.392791239,0.835559618,0.231868439,0.368155804,0.823857506,0.124226787,1.130825087,0.141360337,0.004178928,0.059511752,0.014763816,0.589559479,0.388037792,2.924198075,2.331949171,0.031152517,0.740356096,0.000956004,0.004832703,0.637402056,0.000834426,0.326590179,0.083568582,0.226690081
0bb5a641d39958a9a7f7619f963e6eed,33,3.115112866,0.657735404,2.069016819,0.56327698,0.757186117,23.35174625,0.138719593,0.594656353,0.301792596,0.348051316,0.82533419,0.169826619,0.413467704,0.763406882,0.119194342,1.201042449,0.136354301,0.004434041,0.050163404,0.01432612,0.9236061,0.334693698,3.820966759,1.313458023,0.032140481,0.745036125,0.000875929,0.00735793,0.507278137,0.000814679,0.535555106,0.082398178,0.229536003
c73a753a5b27ad5128c2452dfac13614,33,2.429782174,0.443590937,1.493549143,0.516066697,0.564786801,21.20727378,0.145687538,0.586985443,0.344674481,0.362368558,0.710101041,0.176885368,0.257668729,0.737658274,0.150505082,1.156175514,0.125925546,0.003078973,0.055270925,0.013514678,0.731521332,0.367617183,3.796040081,1.92299453,0.028723512,0.711610399,0.000914372,0.007310154,0.551086133,0.000690469,0.535668926,0.081914219,0.285487988
4ba1f4baca927956f4da6022b0cf0ab6,33,2.180050382,0.552407029,1.426929906,0.69885596,0.447513675,22.50025941,0.135500257,0.605787611,0.342525236,0.394242397,0.730633052,0.365685876,0.438181554,0.713820608,0.099465987,1.134541128,0.135197726,0.002637662,0.069317789,0.015778428,0.890173507,0.390558791,3.086858214,1.997742747,0.029298743,0.728455558,0.000949943,0.00662009,0.637841643,0.000600905,0.571404534,0.083233364,0.252183077
20d831931d1f38b4c3517aa07ede1c0b,33,2.881965692,0.569824975,1.899981137,0.727873229,0.74437442,22.22237678,0.144637697,0.590346884,0.313790979,0.38247576,0.718382385,0.179799405,0.404508553,0.661548762,0.136500178,1.178897398,0.124269857,0.003197813,0.07350844,0.01051825,0.997899296,0.352231254,3.299858821,1.956485104,0.032118218,0.742839633,0.001007555,0.006209167,0.559147031,0.000678712,0.536597533,0.078977893,0.204957921
