name,unique.name,xpath,VXa.stage,SES.stage,RISK.stage,HIV.stage,age.group,dist,mean,shape,min,max,choose
ep,ep,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,NA,constant,0.06732768,NA,NA,NA,FALSE
infs,infs,//TB/TB.infectivity/TB.parameter,NA,NA,NA,NA,NA,constant,0.8,NA,NA,NA,FALSE
j1,j1A15,//TB/TB.progression/TB.parameter; //TB/TB.transmission/TB.parameter,NA,NA,NA,NA,A15,constant,1,NA,NA,NA,FALSE
j2,j2A15,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A15,constant,1,NA,NA,NA,FALSE
j3,j3A15,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A15,constant,1,NA,NA,NA,FALSE
j4,j4A15,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A15,constant,1,NA,NA,NA,FALSE
omega,omega,//TB/TB.progression/TB.parameter; //TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,constant,0.5,NA,NA,NA,FALSE
pC,pC,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,constant,0.5,NA,NA,NA,FALSE
pE,pElow,//TB/TB.progression/TB.parameter; //TB/TB.transmission/TB.parameter,NA,low,NA,NA,NA,constant,0,NA,NA,NA,FALSE
phiF,phiF,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,constant,0.0000014,NA,NA,NA,FALSE
sage,sageA0,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A0,constant,1,NA,NA,NA,FALSE
tau,tau,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,constant,0.5,NA,NA,NA,FALSE
eta,eta,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.7,NA,0,1,TRUE
chi,chi,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.175,NA,0.1,0.25,TRUE
j1,j1A0,//TB/TB.progression/TB.parameter; //TB/TB.transmission/TB.parameter,NA,NA,NA,NA,A0,uniform,0.5,NA,0,1,TRUE
j2,j2A0,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A0,uniform,0.5,NA,0,1,TRUE
j3,j3A0,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A0,uniform,0.5,NA,0,1,TRUE
j4,j4A0,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A0,uniform,0.5,NA,0,1,TRUE
kappa,kappa,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.114350523,NA,0,0.228701045,TRUE
muDc,muDc,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.089,NA,0,0.178,TRUE
muK,muK,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.014509,NA,0.003,0.025,TRUE
pE,pEhigh,//TB/TB.progression/TB.parameter; //TB/TB.transmission/TB.parameter,NA,high,NA,NA,NA,uniform,0.573,NA,0,1,TRUE
phiS,phiS,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.03605,NA,0.0254,0.0467,TRUE
pR,pR,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,0.725,NA,0.6,0.85,TRUE
pT,pT,//TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,0.000025,NA,0,0.0068,TRUE
rho,rho,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.007,NA,0.0001,0.07,TRUE
sage,sageA15,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,A15,uniform,0.5,NA,0,1,TRUE
sigma,sigma,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,0.0006325,NA,0.000135,0.00113,TRUE
theta,theta,//TB/TB.progression/TB.parameter; //TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,0.0903,NA,0.0696,0.111,TRUE
zeta,zeta,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,1,NA,0,12,TRUE
lambdaH,lambdaH,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,uniform,2.5,NA,0,5,TRUE
alphaH,alphaH,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,constant,1,NA,NA,NA,FALSE
betaH,betaHA15,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,A15,constant,0.074,NA,NA,NA,FALSE
muH1,muH1,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,uniform,0.0085,NA,0.005,0.012,TRUE
multiplier,multiplier,//TB/seeded.infections,NA,NA,NA,NA,NA,uniform,0.8,NA,0,1.9,TRUE
thetamul,thetamul,//TB/TB.progression/TB.parameter; //TB/TB.transmission/TB.parameter,NA,NA,NA,NA,NA,uniform,7.2,NA,4.9,40,TRUE
betaH,betaHA0,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,A0,constant,0.092,NA,NA,NA,FALSE
muH2,muH2,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,uniform,0.19,NA,0.055,0.33,TRUE
gammaH,gammaH,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,constant,0.16,NA,NA,NA,FALSE
piH,piH,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,constant,0.099,NA,NA,NA,FALSE
alphaHmul2010,alphaHmul2010,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,uniform,0.5,NA,0,3,TRUE
alphaHmul2019,alphaHmul2019,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,uniform,0.5,NA,0,3,TRUE
epsilonHmul2010,epsilonHmul2010,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,uniform,0.5,NA,0,3,TRUE
epsilonHmul2019,epsilonHmul2019,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,uniform,0.5,NA,0,3,TRUE
phiHmul2010,phiHmul2010,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,uniform,0.5,NA,0,5,TRUE
phiHmul2019,phiHmul2019,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,NA,uniform,0.5,NA,0,5,TRUE
j5,j5A0,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,A0,uniform,0.620420956,NA,0.5,1,TRUE
j6,j6A0,//HIV/HIV.progression/HIV.parameter,NA,NA,NA,NA,A0,uniform,0.936150963,NA,0.5,1,TRUE
trmul,trmul,//TB/TB.progression/TB.parameter,NA,NA,NA,NA,NA,uniform,1.220557278,NA,1,3.2,TRUE
